headline,lead
Уровень воды в районе села Ильинка Тюменской области достиг пика,"Вчера он достиг отметки в 828 см, сообщил губернатор региона Александр Моор"
"Перед Крымским мостом зафиксировали рекордную очередь в 2,7 тыс. машин",Ожидание около четырех часов
По ОМС за последние несколько лет стали доступными 300 видов медпомощи,"Министр здравоохранения Михаил Мурашко добавил, что объем оказания пациентам высокотехнологичной помощи достиг более 1,5 млн случаев в год"
"Имя погибшего в Мариуполе замкомандующего ЧФ присвоили отделению ""Юнармии""","Всего свидетельства и именные знамена получили 13 региональных отделений ""Юнармии"", сообщил губернатор Севастополя Михаил Развожаев"
На Украине запретили выпас скота у границы с ЕС,"В Словакии и Венгрии зарегистрированы вспышки заболевания животных ящуром, сообщила  Государственная служба Украины по вопросам безопасности пищевых продуктов и защиты потребителей"
И.о. президента Южной Кореи ушел в отставку,"По информации Yonhap, Хан Док Су выдвинет свою кандидатуру на выборах главы государства"
ХАМАС обвинил власти Швейцарии в предвзятости из-за решения запретить его,"Движение призвало швейцарское руководство ""отменить это несправедливое и необоснованное решение"" и ""поддержать борьбу палестинцев за реализацию их законных прав"""
"В Грузии прекратил вещание оппозиционный телеканал ""Мтавари архи""","После прекращения эфира останется только цифровой департамент ""Мтавари архи"" - будут обновляться социальные сети и сайт телеканала"
"Тбилиси не разрешит работать в Грузии авиакомпаниями, связанным с аэропортом Сухуми","Министр экономики и устойчивого развития Леван Давиташвили заявил, что в Грузии действует закон, который запрещает иностранным компаниям заниматься коммерческой деятельностью в Абхазии и Южной Осетии без согласия грузинских властей"
Защита Гуцул не смогла оспорить меру пресечения в виде домашнего ареста,Срок домашнего ареста главы Гагаузии истекает 14 мая
Экс-генпрокурор Молдавии: Санду использует юстицию для расправы с оппозицией,"Александр Стояногло отметил, что такого беззакония не допускали прежние главы государства - Игорь Додон и Владимир Воронин"
NYT: сделка по минералам не включает гарантий помощи США Украине в безопасности,"По данным газеты, Вашингтон отверг эту идею еще на ранних этапах переговорного процесса"
India Today: осуществившие теракт в Джамму и Кашмире все еще скрываются,"По данным телеканала, они могут скрываться в южном Кашмире"
Эксперт Барреро: вероятность повторного масштабного блэкаута в Испании мала,"Отвечающий за энергетику в корпорации PricewaterhouseCoopers España также отметил, что нулевого риска не существует"
"Times: если США уйдут от переговоров, поток оружия Киеву иссякнет через полгода","По оценкам газеты, Украина окажется в невыгодном положении, не имея доступа к новейшим системам ПВО и к баллистическим ракетам"
Прокуратура Южной Кореи обвинила Юн Сок Ёля в превышении полномочий,Новые обвинения предъявлены без задержания
Верховный суд Южной Кореи не согласился с оправданием фаворита президентской гонки,"Ли Чжэ Мёна признали виновным в том, что он сделал несколько ложных заявлений во время предвыборной кампании в 2021 году"
