newspaper,ai_model,approach,generated_similarity,generated_headline_sim
tass,yandex,neutral,0.26411310869753807,0.5123093366540693
tass,yandex,tass,0.27794553745714373,0.3958100933067586
tass,yandex,tvrain,0.23073930841060133,0.3251497232536385
tass,yandex,universal,0.2518040293815967,0.3741969692274995
tvrain,yandex,neutral,0.11490847797573342,0.5508459676653645
tvrain,yandex,tass,0.09716502692586403,0.35558786931715064
tvrain,yandex,tvrain,0.1361424615465472,0.3445276536815878
tvrain,yandex,universal,0.1310127194019487,0.4191000363944979
