newspaper,ai_model,approach,generated_similarity,generated_headline_sim
tass,gpt,neutral,0.2591767164592123,0.3276755840423417
tass,gpt,tass,0.2528711628062597,0.31371088659415297
tass,gpt,tvrain,0.2076503791399184,0.24639535998490497
tass,gpt,universal,0.24660219247723217,0.332018385044425
tvrain,gpt,neutral,0.16025267736684567,0.2883744058705572
tvrain,gpt,tass,0.13592339494051972,0.2810941878908522
tvrain,gpt,tvrain,0.12758290036120257,0.23825118034478954
tvrain,gpt,universal,0.15327507701581689,0.34092697403524025
