metric_type,metric_name,grouping,group_value,count,mean,median,std,min,max,q25,q75
similarity,generated_similarity,ai_model,yandex,120,0.21979227611360083,0.20999515002500793,0.09641385416172134,0.03106886360440633,0.5659858663171711,0.15386450587782496,0.28390938536971555
similarity,generated_headline_sim,ai_model,yandex,120,0.40603955758493376,0.401088243612704,0.12751172270077304,0.15116674434613941,0.7389670203930198,0.31317683417121844,0.4979272261087367
similarity,generated_similarity,ai_model_approach,yandex_neutral,30,0.22432520717172347,0.22457669266181685,0.09158686879723267,0.057482915869191034,0.4450674460250159,0.16733577797308538,0.2927135754732013
similarity,generated_headline_sim,ai_model_approach,yandex_neutral,30,0.5225857715904146,0.5178468470542902,0.11640838730134036,0.3131990654607108,0.7389670203930198,0.4567766639814753,0.5882915312446604
similarity,generated_similarity,ai_model_approach,yandex_tass,30,0.22973740131546913,0.21301780191064873,0.11756683473341387,0.03106886360440633,0.5659858663171711,0.14204333092711494,0.301542489364213
similarity,generated_headline_sim,ai_model_approach,yandex_tass,30,0.3850841669095298,0.4112604742227858,0.12469929214950719,0.15116674434613941,0.5762973995177569,0.3001871606761892,0.4953909369327606
similarity,generated_similarity,ai_model_approach,yandex_tvrain,30,0.20551348258018687,0.1988558333937132,0.07840306285824304,0.06721703891413908,0.3866305470702433,0.16310625679762059,0.2497728880417373
similarity,generated_headline_sim,ai_model_approach,yandex_tvrain,30,0.3303171713677583,0.3272842127226976,0.0751419879141988,0.21146535059067775,0.4988928015730266,0.2704737033224781,0.37481572711285416
similarity,generated_similarity,ai_model_approach,yandex_universal,30,0.2195930133870239,0.19818908880390884,0.09722375813993499,0.053795925322751875,0.4896046482526901,0.14927178461036644,0.27595220826454747
similarity,generated_headline_sim,ai_model_approach,yandex_universal,30,0.3861711204720324,0.3986080849342327,0.10548064275233252,0.15175665391933618,0.6167063172843112,0.2956012157022886,0.4305615748264031
similarity,generated_similarity,ai_model_newspaper,yandex_tass,88,0.25615049598671996,0.25057077934701755,0.08208510076476254,0.13790377046484498,0.5659858663171711,0.18986406353942067,0.30787138909679845
