metric_type,metric_name,grouping,group_value,count,mean,median,std,min,max,q25,q75
similarity,generated_similarity,ai_model,gpt,120,0.2156240193074398,0.20265023873996277,0.09075180714416954,0.04027445379877579,0.5744020366805147,0.16199360710575642,0.27460004536313576
similarity,generated_headline_sim,ai_model,gpt,120,0.30020648941483047,0.295956222185661,0.09101027808221433,0.11382665457389862,0.570583734893996,0.22275076225318158,0.36855190741445165
similarity,generated_similarity,ai_model_approach,gpt_neutral,30,0.23279697270124788,0.2268899661504638,0.10590462681925868,0.04027445379877579,0.5744020366805147,0.177766519716719,0.2722209749044607
similarity,generated_headline_sim,ai_model_approach,gpt_neutral,30,0.3171952698631992,0.30435373900232376,0.08069228685437321,0.18531785572148,0.4743370501054288,0.254205931851389,0.37637218973778636
similarity,generated_similarity,ai_model_approach,gpt_tass,30,0.22168509137539572,0.2006723253529989,0.09514567180588873,0.04601949500635297,0.5037533150407426,0.17198502169033095,0.2840079220104791
similarity,generated_headline_sim,ai_model_approach,gpt_tass,30,0.30501310027327283,0.29845565163676613,0.08535764486455491,0.15250886484789677,0.4631911460290532,0.25525351111293587,0.3738153717896391
similarity,generated_similarity,ai_model_approach,gpt_tvrain,30,0.18629905146559417,0.17708180059754097,0.07548859998929304,0.04316259384920875,0.3377105280996175,0.1383878302134223,0.21373818489096827
similarity,generated_headline_sim,ai_model_approach,gpt_tvrain,30,0.24422357874754086,0.22253399541429364,0.0734813914401997,0.11382665457389862,0.3815581449925269,0.20566919594952707,0.31431064070557874
similarity,generated_similarity,ai_model_approach,gpt_universal,30,0.22171496168752144,0.21777315336258107,0.08097816918137894,0.06080900083375621,0.40223018102944097,0.17772502335500712,0.2765312162406546
similarity,generated_headline_sim,ai_model_approach,gpt_universal,30,0.334394008775309,0.3315493331477444,0.10008958526965182,0.16332916260462624,0.570583734893996,0.2593887039688189,0.3984951165086618
similarity,generated_similarity,ai_model_newspaper,gpt_tass,88,0.2415751127206556,0.2192087910657554,0.0819299708311013,0.11937977346289985,0.5744020366805147,0.18818486208245905,0.2873649019205077
similarity,generated_headline_sim,ai_model_newspaper,gpt_tass,88,0.3049500539164562,0.3026949509717528,0.0885535782248555,0.11382665457389862,0.5118981585916247,0.23336872602828024,0.36855190741445165
similarity,generated_similarity,ai_model_newspaper,gpt_tvrain,32,0.14425851242109622,0.1443214727941234,0.07488489376408072,0.04027445379877579,0.32820989929881017,0.07521706700695949,0.18789945253847623
similarity,generated_headline_sim,ai_model_newspaper,gpt_tvrain,32,0.2871616870353598,0.27111905945670506,0.09771669073048767,0.15250886484789677,0.570583734893996,0.21318105410355936,0.3408648032355286
rouge,generated_rouge1_f,ai_model,gpt,120,0.20195342448273665,0.20447283851177422,0.06517056006108332,0.058139532237020126,0.36666666225987654,0.1671306646150886,0.23972813859089476
rouge,generated_rouge2_f,ai_model,gpt,120,0.06362220988381753,0.059985302658173964,0.04136047238619936,0.0,0.19246861494021472,0.03263305445040012,0.08845925568874682
rouge,generated_rougeL_f,ai_model,gpt,120,0.19052988387964023,0.18832054099739912,0.06180881771706172,0.046511625260275975,0.3444444400376544,0.1557936185116935,0.22749879979173862
rouge,generated_hl_rouge1_f,ai_model,gpt,120,0.2115439314759145,0.20749451604156607,0.061720142914984844,0.07142857046022492,0.376470584965398,0.17416655254782315,0.2523591295774542
rouge,generated_hl_rouge2_f,ai_model,gpt,120,0.1135130856415562,0.10781749225212288,0.05243707474327715,0.0,0.2883720901737156,0.08010851087448455,0.14355293637687455
rouge,generated_hl_rougeL_f,ai_model,gpt,120,0.20215680499295954,0.20442326224277652,0.06159085954845733,0.07070706865370888,0.376470584965398,0.16381620205674294,0.23605250578297032
rouge,original_hl_rouge1_f,ai_model,gpt,120,0.2224241178491143,0.19760311818476073,0.11055823198607281,0.04651162585181188,0.5365853618173706,0.13924050225524767,0.2799999972445
rouge,original_hl_rouge2_f,ai_model,gpt,120,0.12959874080804254,0.11287758126764108,0.09777051737682986,0.0,0.3838383801652894,0.06167400706010214,0.18446601679328872
rouge,original_hl_rougeL_f,ai_model,gpt,120,0.21336162085820026,0.1869542851477642,0.10962519263341641,0.04651162585181188,0.5365853618173706,0.12962962772676612,0.2599999972445
rouge,generated_rouge1_f,ai_model_approach,gpt_neutral,30,0.2198187107532092,0.22310420287132526,0.06939724494545185,0.07446808175645103,0.36666666225987654,0.1920965260940312,0.2594529957274504
rouge,generated_rouge2_f,ai_model_approach,gpt_neutral,30,0.06844031766956107,0.06529109302445638,0.0435075303942025,0.0,0.19246861494021472,0.04397232766526379,0.08978915743263607
rouge,generated_rougeL_f,ai_model_approach,gpt_neutral,30,0.20380629965483255,0.20162601137404443,0.06531877968313024,0.06382978388411063,0.3444444400376544,0.17683146391413015,0.24615203864950955
rouge,generated_hl_rouge1_f,ai_model_approach,gpt_neutral,30,0.22422216410966195,0.21097515468684552,0.06558550461624575,0.08465608365387309,0.376470584965398,0.17989182683154706,0.26700314742533016
rouge,generated_hl_rouge2_f,ai_model_approach,gpt_neutral,30,0.11908824658817618,0.11154882614206355,0.05244010894934317,0.041025639103747624,0.2790697645923202,0.08346752257023357,0.14210972649062897
rouge,generated_hl_rougeL_f,ai_model_approach,gpt_neutral,30,0.21579584900558663,0.20471463706866788,0.06403317276895852,0.07407407307186249,0.376470584965398,0.17989182683154706,0.2578283367539394
rouge,original_hl_rouge1_f,ai_model_approach,gpt_neutral,30,0.22242411784911426,0.19760311818476073,0.1119787386118019,0.04651162585181188,0.5365853618173706,0.14146741325536175,0.27355931933571986
