headline,newspaper,ai_model,approach,file,headline_length,generated_rouge1_f,generated_rouge2_f,generated_rougeL_f,generated_hl_rouge1_f,generated_hl_rouge2_f,generated_hl_rougeL_f,original_hl_rouge1_f,original_hl_rouge2_f,original_hl_rougeL_f
В Госдуме опровергли сообщения о необходимости регистрации теплиц на дачах,tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,10,0.19708028706697225,0.05952380468324869,0.18978101699397953,0.27173912785444243,0.18584070579371917,0.27173912785444243,0.24657533936573467,0.15662650321962554,0.24657533936573467
"На первый конкурс Президентского фонда природы подали более 1,6 тыс. заявок",tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,11,0.21674876347339186,0.08661416823214425,0.1921182216014707,0.2333333308420139,0.16778523272442683,0.2333333308420139,0.25423728560937947,0.1901408428042551,0.24576270933819308
В Москве более 500 человек приняли участие в акции солидарности профсоюзов,tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,11,0.20809248055982502,0.07356321339675023,0.19653178691820655,0.2590673550323499,0.18257261186618692,0.24870466073183176,0.22009569145944463,0.13281249787139895,0.210526313469014
"В Тверской области слесарь первым получил звание ""Герой Труда""",tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,9,0.1464968103158345,0.04092071111335022,0.1464968103158345,0.14545454332415061,0.046082947710930425,0.09696969483930216,0.14814814625570397,0.08490565874555005,0.13756613567369336
"Кабмин выделил ЕАО 233,6 млн рублей на реконструкцию моста через реку Хинган",tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,12,0.18604650726368616,0.0656716376030299,0.17829456927919002,0.17525773019183763,0.12598425058435117,0.17525773019183763,0.21568627147827762,0.11764705614010318,0.19607842834102268
Уровень воды в районе села Ильинка Тюменской области достиг пика,tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,10,0.17964071358080264,0.06666666168602506,0.17964071358080264,0.19289339919090934,0.13076922928431955,0.19289339919090934,0.19209039347569348,0.12931034318110882,0.19209039347569348
По ОМС за последние несколько лет стали доступными 300 видов медпомощи,tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,11,0.2533333287635556,0.11023621604563227,0.21333332876355562,0.23318385423957855,0.13427561659154194,0.19730941477769512,0.385185181811797,0.24675324377804014,0.3407407373673526
И.о. президента Южной Кореи ушел в отставку,tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,7,0.2018779295478191,0.058500909437884926,0.18309858682481442,0.163043476238776,0.09999999834710745,0.1521739110213847,0.12676056201076175,0.05449591177601736,0.10563380144738149
Эксперт Барреро: вероятность повторного масштабного блэкаута в Испании мала,tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,9,0.15730336579046222,0.023640656943257878,0.13483145567810273,0.16585365662058302,0.10833333166805559,0.14634146149863175,0.11282051081867193,0.06167400706010214,0.11282051081867193
Прокуратура Южной Кореи обвинила Юн Сок Ёля в превышении полномочий,tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,10,0.16551723656575518,0.049046316889724176,0.16551723656575518,0.14893616874434135,0.09716599083348358,0.14893616874434135,0.1666666646522039,0.108108106395179,0.1666666646522039
Верховный суд Южной Кореи не согласился с оправданием фаворита президентской гонки,tass,yandex,tvrain,tass_combined_yandex_01_05_12_05.csv,11,0.22837369810754185,0.08602150125563668,0.22145328288262842,0.20175438367959372,0.10204081449396088,0.18421052403047092,0.4132231367666144,0.30434782268431004,0.4132231367666144
"Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали",tvrain,yandex,universal,tvrain_combined_yandex_04_05_18_42.csv,13,0.11510791053879209,0.025157229642815134,0.10071942133015899,0.2999999968,0.19230768944526633,0.2857142825142857,0.18181817681983486,0.07017543361034201,0.18181817681983486
Силовики сорвали концерт в баре Екатеринбурга,tvrain,yandex,universal,tvrain_combined_yandex_04_05_18_42.csv,6,0.08403360863215903,0.0,0.08403360863215903,0.40425531545269355,0.33663365974316245,0.40425531545269355,0.11267605195794503,0.0,0.11267605195794503
На Москву и Подмосковье обрушился сильный снегопад,tvrain,yandex,universal,tvrain_combined_yandex_04_05_18_42.csv,7,0.07920791609842201,0.0,0.06930692599941216,0.10294117510813149,0.04878048655339087,0.10294117510813149,0.04651162585181188,0.0,0.04651162585181188
"Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%",tvrain,yandex,universal,tvrain_combined_yandex_04_05_18_42.csv,16,0.16267942155170453,0.050909086814149095,0.1531100435612739,0.3934426195968826,0.34817813437492834,0.3606557343509809,0.19230768762019243,0.09230768753964522,0.1730769183894232
"Во Владивостоке прошел детский парад «Правнуки Победы», на который пригласили детей из КНДР",tvrain,yandex,universal,tvrain_combined_yandex_04_05_18_42.csv,13,0.09836065133028776,0.014492749388785106,0.08196720870733698,0.4999999956722222,0.39705881937716264,0.46666666233888904,0.20512820013149255,0.02439023890541447,0.17948717449046694
В ближайшие дни на Землю упадет советская межпланетная станция «Космос-482» весом в полтонны,tvrain,yandex,universal,tvrain_combined_yandex_04_05_18_42.csv,13,0.16393442125671878,0.03333332839755629,0.14754097863376797,0.3977272689211003,0.25806451258255647,0.3977272689211003,0.13924050225524767,0.05464480477171637,0.12658227440714642
"Ученые создали лекарство, нейтрализующее яд 19 самых смертоносных змей",tvrain,yandex,universal,tvrain_combined_yandex_04_05_18_42.csv,9,0.11808117608202523,0.0,0.11808117608202523,0.29665071449188435,0.20338982758259125,0.28708133650145373,0.10958903699756067,0.0,0.09589040686057437
Релиз GTA VI перенесли на май 2026 года,tvrain,yandex,universal,tvrain_combined_yandex_04_05_18_42.csv,8,0.2202643122862855,0.03759398012521969,0.2202643122862855,0.1830065333931394,0.09944751151185868,0.15686274254346622,0.1666666635680556,0.04511277899711705,0.14999999690138896
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,9,0.41573033208117666,0.27053139596910086,0.37078651185645756,0.42105262796398896,0.33082706443326365,0.40350876831486615,0.45762711511490956,0.3593749966711427,0.44067796257253666
Президент Доминиканы встретился с главой МИД РФ,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,7,0.18888888389444458,0.029850741283632427,0.15555555056111126,0.15999999773800003,0.09259259047496575,0.15999999773800003,0.1698113186027056,0.08403361149918796,0.1698113186027056
Кабмин одобрил проект соглашения о безвизовом режиме с Мьянмой,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,9,0.21917807719688925,0.08333332833792502,0.21917807719688925,0.2428571397438776,0.14723926103955742,0.2428571397438776,0.3157894704483013,0.2064516100262227,0.3007518764633389
"Йеллен: пошлины, введенные Трампом, грозят стране рецессией",tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,7,0.22222221730385813,0.05603447782634185,0.21666666174830257,0.1797752788176998,0.08849557353551572,0.1797752788176998,0.1071428554436384,0.07857142718392858,0.09821428401506699
"Группа ""Аэрофлот"" с июня запустит два регулярных рейса между Красноярском и Анадырем",tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,12,0.24630541377271967,0.07843136766597494,0.2266009802751827,0.3589743555175689,0.2941176437889273,0.3589743555175689,0.2898550694055871,0.18285714016914287,0.2898550694055871
Цена Brent на ICE опустилась ниже $60 за баррель впервые с 9 апреля,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,13,0.40944881392274785,0.2514970010398366,0.37795275093062186,0.4395604357831181,0.27586206568370986,0.4395604357831181,0.5365853618173706,0.3838383801652894,0.5365853618173706
Посол РФ: сумма инвестиций России в Казахстан вдвое больше официальных данных,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,11,0.24183006055171097,0.1061007909138883,0.24183006055171097,0.37037036671467766,0.2061855637979594,0.3580246877023319,0.24324324034696862,0.13793103194081124,0.24324324034696862
В РФ дилеры ожидают роста продаж новых легковых авто за апрель на 15-20%,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,13,0.18296529492143432,0.03589743120039509,0.15772870186149743,0.17687074565967886,0.11834319300164564,0.17687074565967886,0.1388888869860254,0.06792452677935211,0.12962962772676612
Башкирия намерена делать упор на несырьевом неэнергетическом экспорте и экспорте услуг,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,11,0.18452380456916115,0.03931203434491065,0.1785714236167802,0.21714285485975512,0.16037735641019937,0.21714285485975512,0.20289854874932903,0.12244897775926697,0.20289854874932903
FT: ЕС может ограничить сроки соглашения с Лондоном в области продовольствия,tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,11,0.2582781407093988,0.058201053232552716,0.24503310759681604,0.22916666381998702,0.12711864172364268,0.22916666381998702,0.2954545424076705,0.18446601679328872,0.2954545424076705
"""Авито Услуги"": спрос на услуги нянь в апреле в России вырос на 8%",tass,yandex,universal,tass_combined_yandex_01_05_12_05.csv,13,0.22712933255381199,0.10319409819558248,0.22712933255381199,0.2732240407596524,0.20425531661385243,0.2732240407596524,0.2799999972445,0.20661156777371767,0.2599999972445
